date,hashtags,name,time,tweet,urls,username
2020-04-05,['#dkpol'],Pernille Skipper,11:03:39,"“fire uger inde i en pandemi og stadig mangler vi noget så basalt som værnemidler. Samtidig kan vi se, at priserne bliver presset helt ublu i vejret på markedet. Forsyningssikkerheden er truet” @pederhvelplund  https://ekstrabladet.dk/nyheder/politik/enhedslisten-oensker-statslig-produktion-af-vaernemidler/8080118 … #dkpol",['https://ekstrabladet.dk/nyheder/politik/enhedslisten-oensker-statslig-produktion-af-vaernemidler/8080118'],pskipperel
2020-05-14,"['#dkpol', '#dkgreen', '#ftlive']",Signe Munk,11:44:37,"Total forvirring i @DanskDf1995. Først stemmer de for borgerforslaget om dansk klimalov nu, men nu vil de ikke svare på om de stemmer for klimaloven 🤨 #dkpol #dkgreen #ftlive pic.twitter.com/lppIZPQAa5",[],signe_munk
2020-05-09,"['#dkpol', '#europeday2020']",Stinus Lindgreen,09:59:59,Glædelig Europadag alle sammen 🇪🇺🇩🇰  Sammen er vi stærkest. #dkpol #EuropeDay2020 pic.twitter.com/KhbGoFAcMh,[],stinuslindgreen
2020-03-10,"['#dkpol', '#covid19dk']",Pia Olsen Dyhr,20:53:02,"Lad os sammen mindske smitten. Helt afgørende, så der er sengepladser, respiratorer, personale til de mest sårbare, der får brug for det. Husk forholdsreglerne - ikke kun for din egen skyld, men for alles skyld #dkpol #COVID19dk pic.twitter.com/oiqSVTZMQm",[],piaolsen
2020-05-04,[],Mette Abildgaard,21:48:51,"Okay - så serviceloftet hæves, eller hvad? Virker DF ikke til at være enige i. Vi blev smidt ud af forhandlingerne, havde da håbet at V mere loyalt havde insisteret på at få os med rundt om bordet igen.",[],metteabildgaard
2020-03-03,[],Tommy Ahlers,08:21:22,"Berlingske: “...en demokratisk socialist som Bernie Sanders...vil lade det nuværende forsikringsbaserede sundhedsvæsen afløse af et skatteyderbetalt for alle, gøre fireårige collegeuddannelser gratis at tage for de studerende og slette studerendes studiegæld.” Er jeg socialist?",[],aahlers
2020-05-19,[],Mette Abildgaard,07:28:00,"Ja, det er lige præcis hvad jeg har sagt. Ordret. Godt citeret. 😙",[],metteabildgaard
2020-05-30,[],Pernille Skipper,17:16:53,Sorry😳,[],pskipperel
2020-02-27,[],Simon Emil Ammitzbøll-Bille,10:59:11,Ja,[],ammitzbollbille
2020-05-05,['#dkpol'],Søren Pape Poulsen,12:34:33,"Ingen ved, hvordan samfundet ser ud efter coronakrisen. Derfor er det også meget svært at forstå, at man kan lande så afgørende aftale midt i en krise, som vi ikke kender omfanget af endnu. Udligning er vigtigt, men aftalen går på visse stræk for vidt, og timingen er skidt #dkpol",[],sorenpape
2020-03-31,[],Stinus Lindgreen,12:28:23,"Jeg har ikke sagt sidste del - for selvfølgelig er den slags aktiviteter problematiske. Anvisningerne har ikke ændret sig. Jeg blev spurgt til, hvad man med loven ville kunne opløse, og det fremgår ret klart af betænkningen.",[],stinuslindgreen
2020-04-02,['#dkpol'],Morten Østergaard,13:06:43,"Regeringen bør i lighed med andre europæiske lande give Italien en hjælpende hånd. Vi er klar med opbakning til den hjælpepakke, som regeringen måtte finde relevant efter dialog med de italienske myndigheder. Tiden er til europæisk solidaritet - ikke det modsatte. #dkpol https://twitter.com/JeppeKofod/status/1245665867075137536 …",['https://twitter.com/JeppeKofod/status/1245665867075137536'],oestergaard
2020-01-21,[],Morten Østergaard,21:03:23,Modtaget!,[],oestergaard
2020-01-05,[],Stinus Lindgreen,14:10:45,"Tak for link. AI og machine learning har vist bedst effekt på billedanalyse ift mennesker. Det er i hvert fald min erfaring. Men det er klart, at hvis de har brugt et forkert målepunkt, er det jo meningsløst. Man oversælger resultatet, der jo ikke slår 2 x eksperter.",[],stinuslindgreen
2020-04-06,[],Signe Munk,13:32:43,Det kommer an på hvordan man definerer stor...,[],signe_munk
2020-05-27,['#dkpol'],Kristian Thulesen Dahl,15:12:19,Helt enig med Peter! EU’s forslag må tages af bordet. Godt den danske regering har sagt nej - for det har de da - ikke? #dkpol https://twitter.com/KofodPeter/status/1265627396432187392 …,['https://twitter.com/KofodPeter/status/1265627396432187392'],kristianthdahl
2020-05-06,"['#dkpol', '#dkbolig', '#dkgreen']",Dan Jørgensen,17:07:50,"6/ Så langt – så godt (til alle dem som stadig hænger på i #dkpol #dkbolig #dkgreen). Man kan i øvrigt få en hurtig, men god uddybning af hvad Landsbyggefonden laver ved at se denne video hos @almeneboliger https://twitter.com/almeneboliger/status/1251958409726918656 …",['https://twitter.com/almeneboliger/status/1251958409726918656'],danjoergensen
2020-03-18,[],Jakob Ellemann-Jensen,22:34:06,Venstre er klar til at beskytte danskernes jobs. Det er sådan set ret enkelt.,[],jakobellemann
2020-05-14,[],Søren Pape Poulsen,16:50:09,Beklager jeg tillader mig at sige noget der bare opfordre statsministeren til noget. Ærlig talt mærkeligt at nogle herinden mener vi ikke skal leve i et samfund med demokrati og folkestyre = vi taler om tingene,[],sorenpape
2020-05-18,[],Stinus Lindgreen,09:44:04,"Godt spottet! Ja, det er da pudsigt 😀",[],stinuslindgreen
